Syscall Number (dec),Mnemonic
000,RFU000_FullReset
001,ResetEE
002,SetGsCrt
003,RFU003
004,Exit
005,RFU005
006,LoadExecPS2
007,ExecPS
008,RFU008
009,RFU009
010,AddSbusIntcHandler
011,RemoveSbusIntcHandler
012,Interrupt2Iop
013,SetVTLBRefillHandler
014,SetVCommonHandler
015,SetVInterruptHandler
016,AddIntcHandler
017,RemoveIntcHandler
018,AddDmacHandler
019,RemoveDmacHandler
020,_EnableIntc
021,_DisableIntc
022,_EnableDmac
023,_DisableDmac
024,SetAlarm
025,ReleaseAlarm
026,_iEnableIntc
027,_iDisableIntc
028,_iEnableDmac
029,_iDisableDmac
030,iSetAlarm
031,iReleaseAlarm
032,CreateThread
033,DeleteThread
034,StartThread
035,ExitThread
036,ExitDeleteThread
037,TerminateThread
038,iTerminateThread
039,DisableDispatchThread
040,EnableDispatchThread
041,ChangeThreadPriority
042,iChangeThreadPriority
043,RotateThreadReadyQueue
044,_iRotateThreadReadyQueue
045,ReleaseWaitThread
046,iReleaseWaitThread
047,GetThreadId
048,ReferThreadStatus
049,iReferThreadStatus
050,SleepThread
051,WakeupThread
052,_iWakeupThread
053,CancelWakeupThread
054,iCancelWakeupThread
055,SuspendThread
056,_iSuspendThread
057,ResumeThread
058,iResumeThread
059,JoinThread
060,RFU060
061,RFU061
062,EndOfHeap
063,RFU063
064,CreateSema
065,DeleteSema
066,SignalSema
067,iSignalSema
068,WaitSema
069,PollSema
070,iPollSema
071,ReferSemaStatus
072,iReferSemaStatus>:
073,RFU073
074,SetOsdConfigParam
075,GetOsdConfigParam
076,GetGsHParam
077,GetGsVParam
078,SetGsHParam
079,SetGsVParam
080,RFU080_CreateEventFlag
081,RFU081_DeleteEventFlag
082,RFU082_SetEventFlag
083,RFU083_iSetEventFlag
084,RFU084_ClearEventFlag
085,RFU085_iClearEventFlag
086,RFU086_WaitEvnetFlag
087,RFU087_PollEvnetFlag
088,RFU088_iPollEvnetFlag
089,RFU089_ReferEventFlagStatus
090,RFU090_iReferEventFlagStatus
091,RFU091
092,(i)EnableIntcHandler
093,(i)DisableIntcHandler
094,(i)EnableDmacHandler
095,(i)DisableDmacHandler
096,KSeg0
097,EnableCache
098,DisableCache
099,GetCop0
100,FlushCache
101,Unknown
102,CpuConfig
103,iGetCop0
104,iFlushCache
105,Unknown
106,iCpuConfig
107,sceSifStopDma
108,SetCPUTimerHandler
109,SetCPUTimer
110,SetOsdConfigParam2
111,GetOsdConfigParam2
112,(i)GsGetIMR
113,(i)GsPutIMR
114,SetPgifHandler
115,SetVSyncFlag
116,RFU116
117,_print
118,(i)sceSifDmaStat
119,(i)sceSifSetDma
120,(i)sceSifSetDChain
121,sceSifSetReg
122,sceSifGetReg
123,ExecOSD
124,Deci2Call
125,PSMode
126,MachineType
127,GetMemorySize
128,Unknown
129,Unknown
130,Unknown
131,Unknown
132,Unknown
133,Unknown
134,Unknown
135,Unknown
136,Unknown
137,Unknown
138,Unknown
139,Unknown
140,Unknown
141,Unknown
142,Unknown
143,Unknown
144,Unknown
145,Unknown
146,Unknown
147,Unknown
148,Unknown
149,Unknown
150,Unknown
151,Unknown
152,Unknown
153,Unknown
154,Unknown
155,Unknown
156,Unknown
157,Unknown
158,Unknown
159,Unknown
160,Unknown
161,Unknown
162,Unknown
163,Unknown
164,Unknown
165,Unknown
166,Unknown
167,Unknown
168,Unknown
169,Unknown
170,Unknown
171,Unknown
172,Unknown
173,Unknown
174,Unknown
175,Unknown
176,Unknown
177,Unknown
178,Unknown
179,Unknown
180,Unknown
181,Unknown
182,Unknown
183,Unknown
184,Unknown
185,Unknown
186,Unknown
187,Unknown
188,Unknown
189,Unknown
190,Unknown
191,Unknown
192,Unknown
193,Unknown
194,Unknown
195,Unknown
196,Unknown
197,Unknown
198,Unknown
199,Unknown
200,Unknown
201,Unknown
202,Unknown
203,Unknown
204,Unknown
205,Unknown
206,Unknown
207,Unknown
208,Unknown
209,Unknown
210,Unknown
211,Unknown
212,Unknown
213,Unknown
214,Unknown
215,Unknown
216,Unknown
217,Unknown
218,Unknown
219,Unknown
220,Unknown
221,Unknown
222,Unknown
223,Unknown
224,Unknown
225,Unknown
226,Unknown
227,Unknown
228,Unknown
229,Unknown
230,Unknown
231,Unknown
232,Unknown
233,Unknown
234,Unknown
235,Unknown
236,Unknown
237,Unknown
238,Unknown
239,Unknown
240,Unknown
241,Unknown
242,Unknown
243,Unknown
244,Unknown
245,Unknown
246,Unknown
247,Unknown
248,Unknown
249,Unknown
250,Unknown
251,Unknown
252,Unknown
253,Unknown
254,Unknown
255,Unknown